m,dm,filterEff
250,10,0.2042134255
250,15,0.2066339552
250,20,0.2066339552
250,25,0.2124780864
250,30,0.2124780864
275,10,0.2217198759
275,15,0.2217198759
275,20,0.2245870084
275,25,0.2245870084
275,30,0.229667142
300,10,0.2382091135
300,15,0.240889743
300,20,0.240889743
300,25,0.2466816306
300,30,0.2466816306
325,10,0.2528521419
325,15,0.2528521419
325,20,0.2553711832
325,25,0.2553711832
325,30,0.2612762153
350,10,0.2668651342
350,15,0.2689296305
350,20,0.2689296305
350,25,0.2754409909
350,30,0.2754409909
375,10,0.2783139348
375,15,0.2783139348
375,20,0.2811803222
375,25,0.2811803222
375,30,0.287075907
400,10,0.2900922596
400,15,0.2924543619
400,20,0.2924543619
400,25,0.2988575101
400,30,0.2988575101
425,10,0.3003220856
425,15,0.3003220856
425,20,0.3035384715
425,25,0.3035384715
425,30,0.3090057671
450,10,0.3101984859
450,15,0.3136278093
450,20,0.3136278093
450,25,0.3189628124
450,30,0.3189628124
475,10,0.3197309673
475,15,0.3197309673
475,20,0.3215015233
475,25,0.3215015233
475,30,0.3284188807
500,10,0.3286069632
500,15,0.330679208
500,20,0.330679208
500,25,0.336017102
500,30,0.336017102
525,10,0.3347137868
525,15,0.3347137868
525,20,0.3389126062
525,25,0.3389126062
525,30,0.3448073566
550,10,0.3409743607
550,15,0.3437009752
550,20,0.3437009752
550,25,0.351552397
550,30,0.351552397
575,10,0.3479355574
575,15,0.3479355574
575,20,0.3504055738
575,25,0.3504055738
575,30,0.3567230403
600,10,0.355096817
600,15,0.3575661182
600,20,0.3575661182
600,25,0.3658986688
600,30,0.3658986688
625,10,0.3587964475
625,15,0.3587964475
625,20,0.362267226
625,25,0.362267226
625,30,0.3689570129
650,10,0.3609374464
650,15,0.3688736856
650,20,0.3688736856
650,25,0.3744042218
650,30,0.3744042218
675,10,0.3682285249
675,15,0.3682285249
675,20,0.369994998
675,25,0.369994998
675,30,0.379062593
700,10,0.3742113709
700,15,0.3762166798
700,20,0.3762166798
700,25,0.3802374899
700,30,0.3802374899
725,10,0.3755617142
725,15,0.3755617142
725,20,0.3786551952
725,25,0.3786551952
725,30,0.3874762058
750,10,0.3809426129
750,15,0.383798182
750,20,0.383798182
750,25,0.3899972737
750,30,0.3899972737
775,10,0.3882884681
775,15,0.3882884681
775,20,0.3874293864
775,25,0.3874293864
775,30,0.3943744004
800,10,0.3887042403
800,15,0.3890137076
800,20,0.3890137076
800,25,0.3979176879
800,30,0.3979176879
